Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
559,73,0.8115139751552795,0.040623145024168715,0.00483856201171875,0.0002730203427620653,0.0029981136322021484,0.00024134777259510808,gini,11,1,9,random,"{'criterion': 'gini', 'max_depth': 11, 'min_samples_leaf': 1, 'min_samples_split': 9, 'splitter': 'random'}",0.7888198757763976,0.7875,0.86875,0.85,0.7625
417,74,0.8103260869565216,0.051780959069113446,0.0047031879425048825,0.0002914178735188454,0.0029406070709228514,0.000285320102837715,gini,8,2,8,random,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 8, 'splitter': 'random'}",0.7391304347826086,0.8125,0.88125,0.85,0.76875
309,75,0.8103027950310558,0.04686087145460291,0.005431556701660156,0.001208751343252487,0.004100275039672851,0.001082020397909329,gini,6,1,9,random,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 9, 'splitter': 'random'}",0.7577639751552795,0.79375,0.8875,0.8375,0.775
1146,76,0.8102562111801241,0.04644955019503682,0.006219482421875,0.000821265631343356,0.0033916473388671876,0.0006450195574031729,entropy,7,5,8,best,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 5, 'min_samples_split': 8, 'splitter': 'best'}",0.7950310559006211,0.75,0.8875,0.83125,0.7875
1061,77,0.810248447204969,0.037353419655437814,0.005437803268432617,0.0007126598043673702,0.0036116123199462892,0.0007357446757992441,entropy,6,2,5,random,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",0.8012422360248447,0.775,0.875,0.825,0.775
521,78,0.8090450310559006,0.05136811073637979,0.005500364303588867,0.0013319572273617893,0.003157806396484375,0.0008622211555983415,gini,10,3,5,random,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 5, 'splitter': 'random'}",0.7639751552795031,0.76875,0.89375,0.84375,0.775
1391,79,0.8090372670807453,0.02881794099242853,0.004327583312988281,0.00021923204286810073,0.0027448654174804686,0.00012478204353711934,entropy,12,5,5,random,"{'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 5, 'min_samples_split': 5, 'splitter': 'random'}",0.7701863354037267,0.80625,0.85,0.83125,0.7875
317,80,0.8090295031055901,0.04409020331453245,0.004954671859741211,0.0006482979625585102,0.0039711475372314455,0.0022523325380594994,gini,6,2,8,random,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 2, 'min_samples_split': 8, 'splitter': 'random'}",0.7763975155279503,0.8,0.85625,0.8625,0.75
455,81,0.8089984472049689,0.042267293241555835,0.006069469451904297,0.0015008456288488452,0.003080892562866211,0.0006526505458405077,gini,9,1,7,random,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 7, 'splitter': 'random'}",0.8012422360248447,0.79375,0.86875,0.8375,0.74375
1214,82,0.807802795031056,0.04427138182438062,0.005605268478393555,0.0002555519944210438,0.0030319690704345703,0.00021314167598195216,entropy,9,2,7,best,"{'criterion': 'entropy', 'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 7, 'splitter': 'best'}",0.7577639751552795,0.7875,0.8875,0.81875,0.7875
